,0,1,2,3,4,5,6,7,8,9,10,11
SK_2008,101.106238095,89.0177619048,147.353190476,147.688714286,142.142666667,124.977238095,139.45347619,121.302571429,77.3633333333,70.3286666667,66.04,97.4305714286
SK_2009,71.9123333333,81.0909047619,194.521809524,201.473619048,146.976238095,178.780333333,180.110761905,110.239380952,88.1276666667,84.3991904762,93.6027142857,101.284761905
SK_2010,106.39855,99.0158,150.2308,132.79605,213.8204,297.76195,149.12405,180.65775,164.86725,99.2766,103.2545,155.4718
SK_2011,185.1068,111.21065,105.3583,95.9968,86.80685,108.46695,137.7253,124.72805,84.36325,99.80885,57.0203,80.0828
SK_2012,145.8934,93.3327,160.9081,135.87405,135.16825,178.36495,125.7537,91.61795,106.3384,94.43265,96.0881,114.06065
LI_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LI_2009,3.02687096774,3.25003571429,3.74903225806,5.72483333333,7.49403225806,7.3308,7.38235483871,5.36296774194,3.78056666667,3.345,3.37716666667,3.43490322581
LI_2010,2.66403225806,2.75828571429,2.96635483871,3.4946,6.05906451613,8.53253333333,6.1054516129,9.23703225806,6.20773333333,4.47787096774,4.1776,3.55661290323
LI_2011,3.18048387097,2.59075,2.61877419355,3.12553333333,4.13716129032,5.6815,6.41606451613,5.19793548387,4.80136666667,4.95519354839,2.78946666667,2.73561290323
LI_2012,4.41803225806,2.76062068966,3.39677419355,4.27316666667,6.9625483871,10.0268666667,5.79622580645,5.57203225806,6.8687,7.67022580645,5.53766666667,5.252
BE_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE_2009,2.34780824373,3.49980952381,2.80051523297,1.816225,1.77307258065,1.03306944444,0.872198924731,0.601620071685,0.543697222222,0.66451702509,1.82315833333,3.19576344086
BE_2010,13.4202240681,17.8201532184,14.0371474801,9.2177686882,4.79531759072,3.3515952048,2.83574111016,5.258026168,5.14840618664,5.05396190701,16.5040421312,12.7512515041
BE_2011,19.8975013114,7.04324587743,4.60628727428,2.73409635288,1.99494793907,2.15990572017,2.07646503883,2.80866387301,2.19044013713,1.97676065313,1.80070740226,12.1930408602
BE_2012,16.3509648696,6.57706167812,7.23509479688,4.88519276235,6.44265989646,4.51291520576,6.16506216149,2.52077008775,2.16906378538,5.55287283606,6.44125240506,17.3525903124
FR_2008,16.7830034515,9.42509182446,12.2181870805,17.0830277536,12.4854288213,13.8092175604,8.43242287179,7.38233164914,7.68034904142,6.8644476274,10.1429914263,12.9308016246
FR_2009,7.99567917684,10.5726165133,7.07662605754,5.36635673809,4.18962057415,2.90217095031,2.16186143448,1.88356299078,1.87350992002,2.09365653232,3.26810423663,6.36129026232
FR_2010,12.1257097293,10.9984967822,11.4902834976,10.7571930674,7.64130992029,8.36854997925,4.57858473892,3.83817507964,3.57933120681,3.66872172681,9.29754223749,13.8502987501
FR_2011,8.73699779569,3.93329411995,5.89255115667,3.54595246879,2.17899998329,2.15998309495,2.04321242025,1.98584853033,1.52038678074,1.40027902268,4.8391757091,7.57120476127
FR_2012,8.48701540804,4.06380586276,5.75859376687,3.51126953586,2.15247349441,2.16161782603,2.12946024187,1.90231326745,1.50131660976,1.42036193619,4.85020617736,7.76500350527
BG_2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG_2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
